,mean,median,year,week
2001-01-05,0.3798899,0.5,2001,1
2001-01-13,0.48267886,0.58,2001,2
2001-01-21,0.51625854,0.59,2001,3
2001-01-29,0.43442145,0.5,2001,5
2001-02-06,0.49480513,0.54,2001,6
2001-02-14,0.3960239,0.42,2001,7
2001-02-22,0.41197687,0.43,2001,8
2001-03-02,0.5146345,0.53,2001,9
2001-03-10,0.51260364,0.53,2001,10
2001-03-18,0.5478249,0.58,2001,11
2001-03-26,0.55654705,0.58,2001,13
2001-04-03,0.68259525,0.72,2001,14
2001-04-11,0.6900155,0.73,2001,15
2001-04-19,0.7325158,0.76,2001,16
2001-04-27,0.3790182,0.38,2001,17
2001-05-05,0.3686469,0.38,2001,18
2001-05-13,0.44970468,0.46,2001,19
2001-05-21,0.46195677,0.46,2001,21
2001-05-29,0.27757296,0.28,2001,22
2001-06-06,0.5220995,0.53,2001,23
2001-06-14,0.5470821,0.56,2001,24
2001-06-22,0.0,0.0,2001,25
2001-06-30,0.57827055,0.59,2001,26
2001-07-08,0.44598484,0.44,2001,27
2001-07-16,0.49182418,0.49,2001,29
2001-07-24,0.54180235,0.54,2001,30
2001-08-01,0.43841368,0.44,2001,31
2001-08-09,0.45511022,0.46,2001,32
2001-08-17,0.40356413,0.39,2001,33
2001-08-25,0.34498942,0.33,2001,34
2001-09-02,0.46565342,0.46,2001,35
2001-09-10,0.57077473,0.57,2001,37
2001-09-18,0.655779,0.66,2001,38
2001-09-26,0.5232295,0.53,2001,39
2001-10-04,0.46028095,0.46,2001,40
2001-10-12,0.3208072,0.31,2001,41
2001-10-20,0.30567172,0.3,2001,42
2001-10-28,0.40122247,0.4,2001,43
2001-11-05,0.5031594,0.51,2001,45
2001-11-13,0.63440454,0.64,2001,46
2001-11-21,0.58208674,0.6,2001,47
2001-11-29,0.4206921,0.42,2001,48
2001-12-07,0.43244898,0.43,2001,49
2001-12-15,0.49649847,0.52,2001,50
2001-12-23,0.24309804,0.27,2001,51
2001-12-31,0.17041016,0.0,2001,1
2002-01-08,0.21765172,0.0,2002,2
2002-01-16,0.21421695,0.24,2002,3
2002-01-24,0.28693584,0.33,2002,4
2002-02-01,0.111701325,0.1,2002,5
2002-02-09,0.119877785,0.1,2002,6
2002-02-17,0.1757328,0.17,2002,7
2002-02-25,0.3559401,0.35,2002,9
2002-03-05,0.277604,0.28,2002,10
2002-03-13,0.2284312,0.23,2002,11
2002-03-21,0.4058368,0.41,2002,12
2002-03-29,0.38030034,0.39,2002,13
2002-04-06,0.35982203,0.36,2002,14
2002-04-14,0.5926909,0.61,2002,15
2002-04-22,0.5313356,0.55,2002,17
2002-04-30,0.4462304,0.45,2002,18
2002-05-08,0.5331906,0.55,2002,19
2002-05-16,0.45487013,0.47,2002,20
2002-05-24,0.40297186,0.42,2002,21
2002-06-01,0.59460926,0.62,2002,22
2002-06-09,0.60719013,0.62,2002,23
2002-06-17,0.49196196,0.51,2002,25
2002-06-25,0.28103727,0.28,2002,26
2002-07-03,0.6067643,0.62,2002,27
2002-07-11,0.48437852,0.48,2002,28
2002-07-19,0.49161553,0.49,2002,29
2002-07-27,0.7668424,0.8,2002,30
2002-08-04,0.77999455,0.82,2002,31
2002-08-12,0.83615786,0.88,2002,33
2002-08-20,0.67196095,0.72,2002,34
2002-08-28,0.809752,0.86,2002,35
2002-09-05,0.8379775,0.89,2002,36
2002-09-13,0.80401844,0.86,2002,37
2002-09-21,0.65853375,0.69,2002,38
2002-09-29,0.7980816,0.83,2002,39
2002-10-07,0.6994506,0.73,2002,41
2002-10-15,0.63022816,0.65,2002,42
2002-10-23,0.49090588,0.5,2002,43
2002-10-31,0.44624734,0.45,2002,44
2002-11-08,0.6166304,0.64,2002,45
2002-11-16,0.5722838,0.58,2002,46
2002-11-24,0.30914554,0.31,2002,47
2002-12-02,0.41743636,0.43,2002,49
2002-12-10,0.48658714,0.5,2002,50
2002-12-18,0.38948,0.4,2002,51
2002-12-26,0.37322074,0.41,2002,52
2003-01-03,0.28124395,0.33,2003,1
2003-01-11,0.43835118,0.6,2003,2
2003-01-19,0.5088555,0.54,2003,3
2003-01-27,0.38137856,0.39,2003,5
2003-02-04,0.4432295,0.45,2003,6
2003-02-12,0.47184223,0.48,2003,7
2003-02-20,0.35240182,0.35,2003,8
2003-02-28,0.29927263,0.3,2003,9
2003-03-08,0.2967577,0.29,2003,10
2003-03-16,0.39239123,0.38,2003,11
2003-03-24,0.2664246,0.25,2003,13
2003-04-01,0.4657124,0.46,2003,14
2003-04-09,0.5803266,0.58,2003,15
2003-04-17,0.4146306,0.41,2003,16
2003-04-25,0.34266153,0.34,2003,17
2003-05-03,0.19410738,0.18,2003,18
2003-05-11,0.29277235,0.29,2003,19
2003-05-19,0.36036348,0.36,2003,21
2003-05-27,0.303646,0.31,2003,22
2003-06-04,0.2580416,0.26,2003,23
2003-06-12,0.18658125,0.17,2003,24
2003-06-20,0.26952508,0.26,2003,25
2003-06-28,0.37519953,0.36,2003,26
2003-07-06,0.4189167,0.4,2003,27
2003-07-14,0.3387923,0.33,2003,29
2003-07-22,0.25301346,0.23,2003,30
2003-07-30,0.32236156,0.31,2003,31
2003-08-07,0.14681551,0.13,2003,32
2003-08-15,0.17544611,0.16,2003,33
2003-08-23,0.21007836,0.2,2003,34
2003-08-31,0.3384504,0.33,2003,35
2003-09-08,0.4162698,0.41,2003,37
2003-09-16,0.21592422,0.19,2003,38
2003-09-24,0.19730945,0.17,2003,39
2003-10-02,0.45929253,0.46,2003,40
2003-10-10,0.34756258,0.33,2003,41
2003-10-18,0.519814,0.52,2003,42
2003-10-26,0.65146065,0.65,2003,43
2003-11-03,0.4562859,0.45,2003,45
2003-11-11,0.42440814,0.42,2003,46
2003-11-19,0.2889517,0.28,2003,47
2003-11-27,0.3379462,0.34,2003,48
2003-12-05,0.43515813,0.44,2003,49
2003-12-13,0.28858197,0.28,2003,50
2003-12-21,0.38897625,0.41,2003,51
2003-12-29,0.012741726,0.0,2003,1
2004-01-06,0.42819065,0.46,2004,2
2004-01-14,0.40232322,0.43,2004,3
2004-01-22,0.5053636,0.51,2004,4
2004-01-30,0.48356703,0.49,2004,5
2004-02-07,0.2180977,0.21,2004,6
2004-02-15,0.30549613,0.3,2004,7
2004-02-23,0.5018226,0.52,2004,9
2004-03-02,0.5440897,0.56,2004,10
2004-03-10,0.5775103,0.59,2004,11
2004-03-18,0.32004246,0.31,2004,12
2004-03-26,0.5270204,0.53,2004,13
2004-04-03,0.5182531,0.52,2004,14
2004-04-11,0.65269625,0.68,2004,15
2004-04-19,0.5376714,0.54,2004,17
2004-04-27,0.42421922,0.42,2004,18
2004-05-05,0.6440573,0.66,2004,19
2004-05-13,0.5901141,0.6,2004,20
2004-05-21,0.3547997,0.35,2004,21
2004-05-29,0.46880248,0.47,2004,22
2004-06-06,0.48001713,0.49,2004,23
2004-06-14,0.43163872,0.45,2004,25
2004-06-22,0.6476125,0.67,2004,26
2004-06-30,0.5082032,0.52,2004,27
2004-07-08,0.498625,0.5,2004,28
2004-07-16,0.5657923,0.56,2004,29
2004-07-24,0.39954326,0.39,2004,30
2004-08-01,0.59973896,0.62,2004,31
2004-08-09,0.62482035,0.65,2004,33
2004-08-17,0.4755999,0.48,2004,34
2004-08-25,0.4652646,0.47,2004,35
2004-09-02,0.42691946,0.43,2004,36
2004-09-10,0.30194345,0.29,2004,37
2004-09-18,0.53497666,0.54,2004,38
2004-09-26,0.4075908,0.4,2004,39
2004-10-04,0.4706457,0.48,2004,41
2004-10-12,0.3479606,0.34,2004,42
2004-10-20,0.5807868,0.6,2004,43
2004-10-28,0.42583555,0.43,2004,44
2004-11-05,0.5708021,0.59,2004,45
2004-11-13,0.64927703,0.67,2004,46
2004-11-21,0.5487585,0.56,2004,47
2004-11-29,0.44011778,0.44,2004,49
2004-12-07,0.42536736,0.43,2004,50
2004-12-15,0.35222018,0.35,2004,51
2004-12-23,0.53046364,0.55,2004,52
2004-12-31,0.4188319,0.45,2004,53
2005-01-08,0.38040265,0.39,2005,1
2005-01-16,0.34653798,0.34,2005,2
2005-01-24,0.5525327,0.57,2005,4
2005-02-01,0.45227247,0.45,2005,5
2005-02-09,0.35632807,0.35,2005,6
2005-02-17,0.2770769,0.27,2005,7
2005-02-25,0.42018014,0.43,2005,8
2005-03-05,0.5477058,0.56,2005,9
2005-03-13,0.396461,0.39,2005,10
2005-03-21,0.11896678,0.09,2005,12
2005-03-29,0.3999498,0.38,2005,13
2005-04-06,0.48374197,0.5,2005,14
2005-04-14,0.55486876,0.57,2005,15
2005-04-22,0.5352111,0.53,2005,16
2005-04-30,0.3995486,0.4,2005,17
2005-05-08,0.28189915,0.27,2005,18
2005-05-16,0.5836264,0.6,2005,20
2005-05-24,0.633816,0.66,2005,21
2005-06-01,0.36246535,0.38,2005,22
2005-06-09,0.6038959,0.63,2005,23
2005-06-17,0.6220323,0.64,2005,24
2005-06-25,0.4192582,0.43,2005,25
2005-07-03,0.39130336,0.39,2005,26
2005-07-11,0.56381565,0.58,2005,28
2005-07-19,0.5269988,0.53,2005,29
2005-07-27,0.5256394,0.54,2005,30
2005-08-04,0.38875303,0.39,2005,31
2005-08-12,0.5747997,0.58,2005,32
2005-08-20,0.6684506,0.68,2005,33
2005-08-28,0.7665958,0.8,2005,34
2005-09-05,0.7101084,0.74,2005,36
2005-09-13,0.64416,0.67,2005,37
2005-09-21,0.53401226,0.56,2005,38
2005-09-29,0.5831037,0.6,2005,39
2005-10-07,0.7449436,0.78,2005,40
2005-10-15,0.68625015,0.71,2005,41
2005-10-23,0.60238487,0.62,2005,42
2005-10-31,0.46205655,0.47,2005,44
2005-11-08,0.57028884,0.58,2005,45
2005-11-16,0.60891515,0.63,2005,46
2005-11-24,0.6917922,0.72,2005,47
2005-12-02,0.6662227,0.71,2005,48
2005-12-10,0.5220914,0.55,2005,49
2005-12-18,0.48956198,0.54,2005,50
2005-12-26,0.40542752,0.45,2005,52
2006-01-03,0.3034823,0.34,2006,1
2006-01-11,0.4196349,0.44,2006,2
2006-01-19,0.47782922,0.51,2006,3
2006-01-27,0.2187926,0.22,2006,4
2006-02-04,0.21542065,0.21,2006,5
2006-02-12,0.21260275,0.2,2006,6
2006-02-20,0.23636654,0.23,2006,8
2006-02-28,0.38166016,0.38,2006,9
2006-03-08,0.4365275,0.44,2006,10
2006-03-16,0.50023425,0.51,2006,11
2006-03-24,0.46518612,0.47,2006,12
2006-04-01,0.38852754,0.38,2006,13
2006-04-09,0.45379186,0.45,2006,14
2006-04-17,0.3434504,0.35,2006,16
2006-04-25,0.34999123,0.35,2006,17
2006-05-03,0.46223953,0.47,2006,18
2006-05-11,0.47188026,0.48,2006,19
2006-05-19,0.36408293,0.37,2006,20
2006-05-27,0.70108086,0.74,2006,21
2006-06-04,0.6865702,0.71,2006,22
2006-06-12,0.5726874,0.59,2006,24
2006-06-20,0.38480824,0.39,2006,25
2006-06-28,0.3821822,0.39,2006,26
2006-07-06,0.4806744,0.49,2006,27
2006-07-14,0.4315201,0.44,2006,28
2006-07-22,0.25939798,0.26,2006,29
2006-07-30,0.44149467,0.44,2006,30
2006-08-07,0.5648657,0.57,2006,32
2006-08-15,0.717681,0.74,2006,33
2006-08-23,0.6537908,0.67,2006,34
2006-08-31,0.5127675,0.52,2006,35
2006-09-08,0.4083228,0.41,2006,36
2006-09-16,0.5778968,0.59,2006,37
2006-09-24,0.5276128,0.54,2006,38
2006-10-02,0.5359823,0.54,2006,40
2006-10-10,0.4454154,0.45,2006,41
2006-10-18,0.39239392,0.4,2006,42
2006-10-26,0.32602605,0.32,2006,43
2006-11-03,0.55969405,0.56,2006,44
2006-11-11,0.3309932,0.33,2006,45
2006-11-19,0.32002452,0.31,2006,46
2006-11-27,0.31635818,0.31,2006,48
2006-12-05,0.30866677,0.31,2006,49
2006-12-13,0.38932374,0.39,2006,50
2006-12-21,0.43388304,0.45,2006,51
2006-12-29,0.17789431,0.0,2006,52
2007-01-06,0.34156853,0.36,2007,1
2007-01-14,0.3190581,0.33,2007,2
2007-01-22,0.30766568,0.32,2007,4
2007-01-30,0.45952663,0.48,2007,5
2007-02-07,0.41019526,0.42,2007,6
2007-02-15,0.45105824,0.48,2007,7
2007-02-23,0.51075685,0.54,2007,8
2007-03-03,0.46517888,0.5,2007,9
2007-03-11,0.4699162,0.5,2007,10
2007-03-19,0.46204776,0.49,2007,12
2007-03-27,0.7153868,0.74,2007,13
2007-04-04,0.7306745,0.77,2007,14
2007-04-12,0.45867142,0.48,2007,15
2007-04-20,0.37529078,0.4,2007,16
2007-04-28,0.32772708,0.34,2007,17
2007-05-06,0.5006908,0.51,2007,18
2007-05-14,0.31494528,0.32,2007,20
2007-05-22,0.26446056,0.27,2007,21
2007-05-30,0.26280543,0.25,2007,22
2007-06-07,0.4247724,0.42,2007,23
2007-06-15,0.47843304,0.49,2007,24
2007-06-23,0.3377339,0.33,2007,25
2007-07-01,0.3928755,0.39,2007,26
2007-07-09,0.38039577,0.37,2007,28
2007-07-17,0.1276741,0.09,2007,29
2007-07-25,0.13198502,0.1,2007,30
2007-08-02,0.24399889,0.23,2007,31
2007-08-10,0.31510955,0.3,2007,32
2007-08-18,0.24378937,0.23,2007,33
2007-08-26,0.40981883,0.4,2007,34
2007-09-03,0.51179767,0.51,2007,36
2007-09-11,0.39277202,0.38,2007,37
2007-09-19,0.3773963,0.36,2007,38
2007-09-27,0.34798908,0.34,2007,39
2007-10-05,0.363594,0.35,2007,40
2007-10-13,0.37044,0.37,2007,41
2007-10-21,0.40192565,0.4,2007,42
2007-10-29,0.4296298,0.42,2007,44
2007-11-06,0.46543524,0.47,2007,45
2007-11-14,0.46441528,0.47,2007,46
2007-11-22,0.37311858,0.36,2007,47
2007-11-30,0.31948388,0.31,2007,48
2007-12-08,0.287254,0.27,2007,49
2007-12-16,0.32945597,0.32,2007,50
2007-12-24,0.36790377,0.37,2007,52
2008-01-01,0.29565516,0.29,2008,1
2008-01-09,0.2517859,0.27,2008,2
2008-01-17,0.35749987,0.36,2008,3
2008-01-25,0.2503018,0.25,2008,4
2008-02-02,0.31718168,0.32,2008,5
2008-02-10,0.3547269,0.36,2008,6
2008-02-18,0.30923924,0.31,2008,8
2008-02-26,0.26788577,0.28,2008,9
2008-03-05,0.39238614,0.4,2008,10
2008-03-13,0.43740296,0.44,2008,11
2008-03-21,0.70276827,0.73,2008,12
2008-03-29,0.64322674,0.68,2008,13
2008-04-06,0.4960303,0.51,2008,14
2008-04-14,0.5870088,0.62,2008,16
2008-04-22,0.5393868,0.56,2008,17
2008-04-30,0.49199164,0.51,2008,18
2008-05-08,0.42576316,0.44,2008,19
2008-05-16,0.6350656,0.66,2008,20
2008-05-24,0.62909055,0.66,2008,21
2008-06-01,0.7229326,0.76,2008,22
2008-06-09,0.74190557,0.78,2008,24
2008-06-17,0.53568286,0.56,2008,25
2008-06-25,0.51186365,0.52,2008,26
2008-07-03,0.52386206,0.54,2008,27
2008-07-11,0.53146285,0.54,2008,28
2008-07-19,0.5501543,0.57,2008,29
2008-07-27,0.44501096,0.45,2008,30
2008-08-04,0.4237121,0.43,2008,32
2008-08-12,0.41391763,0.41,2008,33
2008-08-20,0.36554933,0.36,2008,34
2008-08-28,0.26707882,0.26,2008,35
2008-09-05,0.1680832,0.15,2008,36
2008-09-13,0.50382626,0.51,2008,37
2008-09-21,0.5395754,0.55,2008,38
2008-09-29,0.45522207,0.45,2008,40
2008-10-07,0.14529637,0.12,2008,41
2008-10-15,0.13258079,0.11,2008,42
2008-10-23,0.27560616,0.27,2008,43
2008-10-31,0.22114304,0.21,2008,44
2008-11-08,0.30206153,0.29,2008,45
2008-11-16,0.38813502,0.39,2008,46
2008-11-24,0.49689,0.5,2008,48
2008-12-02,0.4577896,0.46,2008,49
2008-12-10,0.2189418,0.21,2008,50
2008-12-18,0.25927472,0.26,2008,51
2008-12-26,0.25912797,0.3,2008,52
2009-01-03,0.23898749,0.0,2009,1
2009-01-11,0.33574942,0.4,2009,2
2009-01-19,0.32434365,0.38,2009,4
2009-01-27,0.22607684,0.24,2009,5
2009-02-04,0.21378319,0.21,2009,6
2009-02-12,0.4614197,0.47,2009,7
2009-02-20,0.39300483,0.39,2009,8
2009-02-28,0.2799126,0.27,2009,9
2009-03-08,0.33618262,0.33,2009,10
2009-03-16,0.4227275,0.42,2009,12
2009-03-24,0.49393842,0.5,2009,13
2009-04-01,0.6071483,0.62,2009,14
2009-04-09,0.44642827,0.45,2009,15
2009-04-17,0.45612165,0.46,2009,16
2009-04-25,0.6972401,0.73,2009,17
2009-05-03,0.5833383,0.6,2009,18
2009-05-11,0.37810302,0.38,2009,20
2009-05-19,0.2870062,0.29,2009,21
2009-05-27,0.36268407,0.36,2009,22
2009-06-04,0.47076902,0.48,2009,23
2009-06-12,0.3155709,0.31,2009,24
2009-06-20,0.4766929,0.49,2009,25
2009-06-28,0.54807925,0.56,2009,26
2009-07-06,0.6983195,0.73,2009,28
2009-07-14,0.5047821,0.51,2009,29
2009-07-22,0.38568395,0.39,2009,30
2009-07-30,0.33020595,0.32,2009,31
2009-08-07,0.39263234,0.39,2009,32
2009-08-15,0.25406328,0.25,2009,33
2009-08-23,0.29267082,0.28,2009,34
2009-08-31,0.314177,0.31,2009,36
2009-09-08,0.37061518,0.35,2009,37
2009-09-16,0.45269904,0.46,2009,38
2009-09-24,0.28997442,0.28,2009,39
2009-10-02,0.3039285,0.28,2009,40
2009-10-10,0.44192374,0.43,2009,41
2009-10-18,0.58636016,0.6,2009,42
2009-10-26,0.44407693,0.43,2009,44
2009-11-03,0.53733456,0.54,2009,45
2009-11-11,0.48891422,0.49,2009,46
2009-11-19,0.37465757,0.38,2009,47
2009-11-27,0.42708492,0.43,2009,48
2009-12-05,0.54737973,0.57,2009,49
2009-12-13,0.53106993,0.58,2009,50
2009-12-21,0.2957035,0.0,2009,52
2009-12-29,0.027860971,0.0,2009,53
2010-01-06,0.027860971,0.0,2010,1
2010-01-14,0.19891882,0.0,2010,2
2010-01-22,0.37212756,0.42,2010,3
2010-01-30,0.62241966,0.67,2010,4
2010-02-07,0.67447203,0.72,2010,5
2010-02-15,0.46154433,0.48,2010,7
2010-02-23,0.4683821,0.47,2010,8
2010-03-03,0.40217128,0.42,2010,9
2010-03-11,0.4248242,0.44,2010,10
2010-03-19,0.68615615,0.72,2010,11
2010-03-27,0.6267633,0.66,2010,12
2010-04-04,0.4317887,0.43,2010,13
2010-04-12,0.6426515,0.66,2010,15
2010-04-20,0.50227183,0.51,2010,16
2010-04-28,0.49135417,0.5,2010,17
2010-05-06,0.41832128,0.43,2010,18
2010-05-14,0.5701518,0.59,2010,19
2010-05-22,0.6429335,0.67,2010,20
2010-05-30,0.49782944,0.51,2010,21
2010-06-07,0.47909534,0.49,2010,23
2010-06-15,0.39030084,0.4,2010,24
2010-06-23,0.5067238,0.52,2010,25
2010-07-01,0.7315852,0.76,2010,26
2010-07-09,0.57478106,0.59,2010,27
2010-07-17,0.5649581,0.58,2010,28
2010-07-25,0.46877214,0.48,2010,29
2010-08-02,0.47080988,0.48,2010,31
2010-08-10,0.6375718,0.66,2010,32
2010-08-18,0.6969397,0.72,2010,33
2010-08-26,0.74616164,0.78,2010,34
2010-09-03,0.521476,0.54,2010,35
2010-09-11,0.64371115,0.66,2010,36
2010-09-19,0.6209572,0.64,2010,37
2010-09-27,0.6270571,0.66,2010,39
2010-10-05,0.558133,0.58,2010,40
2010-10-13,0.62157536,0.64,2010,41
2010-10-21,0.57960916,0.59,2010,42
2010-10-29,0.6125176,0.63,2010,43
2010-11-06,0.62260914,0.63,2010,44
2010-11-14,0.5093617,0.52,2010,45
2010-11-22,0.4734515,0.48,2010,47
2010-11-30,0.4862512,0.49,2010,48
2010-12-08,0.5905068,0.6,2010,49
2010-12-16,0.58664006,0.6,2010,50
2010-12-24,0.52519155,0.54,2010,51
2011-01-01,0.3195296,0.38,2011,52
2011-01-09,0.32584292,0.37,2011,1
2011-01-17,0.30572498,0.34,2011,3
2011-01-25,0.48371434,0.52,2011,4
2011-02-02,0.44283092,0.46,2011,5
2011-02-10,0.28787303,0.29,2011,6
2011-02-18,0.21193087,0.21,2011,7
2011-02-26,0.44254312,0.45,2011,8
2011-03-06,0.4428154,0.45,2011,9
2011-03-14,0.41560203,0.41,2011,11
2011-03-22,0.5439737,0.54,2011,12
2011-03-30,0.3333266,0.32,2011,13
2011-04-07,0.30238596,0.3,2011,14
2011-04-15,0.24138007,0.24,2011,15
2011-04-23,0.375716,0.4,2011,16
2011-05-01,0.47426435,0.49,2011,17
2011-05-09,0.48263636,0.5,2011,19
2011-05-17,0.37336516,0.38,2011,20
2011-05-25,0.35603815,0.36,2011,21
2011-06-02,0.3324588,0.34,2011,22
2011-06-10,0.5765867,0.59,2011,23
2011-06-18,0.6115766,0.64,2011,24
2011-06-26,0.5055024,0.52,2011,25
2011-07-04,0.49931678,0.52,2011,27
2011-07-12,0.5143572,0.54,2011,28
2011-07-20,0.47054732,0.48,2011,29
2011-07-28,0.6768942,0.7,2011,30
2011-08-05,0.6657897,0.69,2011,31
2011-08-13,0.53829175,0.55,2011,32
2011-08-21,0.32711238,0.33,2011,33
2011-08-29,0.21290776,0.21,2011,35
2011-09-06,0.2413594,0.23,2011,36
2011-09-14,0.17752278,0.16,2011,37
2011-09-22,0.16385202,0.14,2011,38
2011-09-30,0.18672661,0.17,2011,39
2011-10-08,0.12917288,0.1,2011,40
2011-10-16,0.27674255,0.27,2011,41
